B-cell,T-cell,NK,Myeloid,Other
0.8857466063348416,0.08088235294117647,0.003393665158371041,0.010746606334841629,0.019230769230769232
0.6669565217391304,0.17391304347826086,0.00782608695652174,0.1191304347826087,0.03217391304347826
0.41274238227146814,0.3961218836565097,0.02631578947368421,0.0886426592797784,0.07617728531855955
0.9429530201342282,0.020134228187919462,0.003355704697986577,0.006711409395973154,0.026845637583892617
0.736734693877551,0.07346938775510205,0.0163265306122449,0.0020408163265306124,0.17142857142857143
0.9237623762376238,0.00891089108910891,0.01287128712871287,0.00891089108910891,0.04554455445544554
0.8644168146832445,0.07460035523978685,0.0053285968028419185,0.008880994671403197,0.046773238602723505
0.9319029850746269,0.028917910447761194,0.0046641791044776115,0.008395522388059701,0.026119402985074626
0.9446254071661238,0.013029315960912053,0.0024429967426710096,0.005700325732899023,0.03420195439739414
0.8210862619808307,0.09584664536741214,0.011182108626198083,0.0463258785942492,0.025559105431309903
0.9297820823244553,0.02824858757062147,0.002421307506053269,0.008071025020177562,0.031476997578692496
0.6606060606060606,0.23333333333333334,0.02484848484848485,0.06303030303030303,0.01818181818181818
0.9687936655798789,0.020027945971122497,0.002328830926874709,0.006520726595249185,0.002328830926874709
0.8405093996361431,0.018192844147968467,0.002425712553062462,0.0030321406913280777,0.13583990297149787
0.6735395189003437,0.17525773195876287,0.023673157693776252,0.0882016036655212,0.039327987781596026
0.9308108108108109,0.03351351351351351,0.0,0.0075675675675675675,0.02810810810810811
0.9320271891243502,0.03598560575769692,0.003198720511795282,0.012794882047181128,0.01599360255897641
0.9180859691808597,0.0267639902676399,0.0032441200324412004,0.0016220600162206002,0.050283860502838604
0.8366056572379368,0.07420965058236273,0.005657237936772047,0.06622296173044925,0.017304492512479203
0.8162393162393162,0.0673076923076923,0.010683760683760684,0.009615384615384616,0.09615384615384616
0.8409825468648998,0.07433742727860375,0.011635423400129283,0.06399482870071105,0.00904977375565611
0.8868421052631579,0.05,0.0043859649122807015,0.012280701754385965,0.04649122807017544
0.496265172735761,0.30905695611577966,0.03127917833800187,0.12044817927170869,0.04295051353874883
0.6558441558441559,0.15746753246753248,0.006493506493506494,0.00974025974025974,0.17045454545454544
0.8567796610169491,0.04576271186440678,0.00423728813559322,0.005932203389830509,0.08728813559322034
0.9672456575682382,0.014392059553349877,0.003970223325062035,0.012903225806451613,0.001488833746898263
0.9484375,0.03515625,0.0,0.0046875,0.01171875
0.8175011698642958,0.11183902667290595,0.007487131492746842,0.03088441740758072,0.03228825456247075
0.2739273927392739,0.6303630363036303,0.0462046204620462,0.0,0.04950495049504951
0.911660777385159,0.014134275618374558,0.0015704750687082843,0.00039261876717707107,0.07224185316058107
0.5432639649507119,0.12376779846659365,0.029572836801752465,0.08214676889375684,0.2212486308871851
0.7348668280871671,0.11198547215496368,0.007869249394673124,0.07142857142857142,0.07384987893462469
0.9173553719008265,0.03986387943607195,0.004861448711716091,0.03159941662615459,0.006319883325230919
0.7021791767554479,0.19612590799031476,0.024213075060532687,0.01694915254237288,0.06053268765133172
0.9418282548476454,0.028393351800554016,0.004847645429362881,0.006925207756232687,0.018005540166204988
0.8746948738812043,0.06997558991049634,0.015459723352318959,0.014646053702196907,0.025223759153783564
0.7906066536203522,0.11545988258317025,0.007827788649706457,0.019569471624266144,0.06653620352250489
0.8876889848812095,0.011879049676025918,0.0032397408207343412,0.08531317494600432,0.011879049676025918
0.8271276595744681,0.12234042553191489,0.026595744680851064,0.0026595744680851063,0.02127659574468085
0.8103674540682415,0.11351706036745407,0.011811023622047244,0.03805774278215223,0.026246719160104987
0.7397084048027445,0.09562607204116638,0.03987993138936535,0.11578044596912522,0.009005145797598629
0.7785136129506991,0.15378955114054452,0.013980868285504048,0.026490066225165563,0.027225901398086828
0.7723735408560312,0.10116731517509728,0.00648508430609598,0.0940337224383917,0.02594033722438392
0.1294178794178794,0.5701663201663202,0.1502079002079002,0.07172557172557173,0.07848232848232849
0.9839357429718876,0.009370816599732263,0.0013386880856760374,0.002677376171352075,0.002677376171352075
0.1956521739130435,0.5497896213183731,0.06591865357643759,0.1535764375876578,0.03506311360448808
0.5287878787878788,0.30454545454545456,0.03787878787878788,0.0797979797979798,0.04898989898989899
0.985178727114211,0.006102877070619006,0.0017436791630340018,0.006974716652136007,0.0
0.9103869653767821,0.04073319755600815,0.010183299389002037,0.002036659877800407,0.03665987780040733
0.8677218767665348,0.06840022611644997,0.01243640474844545,0.046353872244205764,0.005087620124364048
0.97352587244284,0.0048134777376654635,0.0012033694344163659,0.006618531889290012,0.013838748495788207
0.7463126843657817,0.127826941986234,0.01966568338249754,0.01966568338249754,0.08652900688298919
0.8760180995475113,0.03891402714932127,0.004524886877828055,0.0,0.08054298642533937
